deconvolved_not deconvolved, bmaj, bmaj_error,bmin,bmin_error
deconvolved , 0.06156641043797958 , 0.008510405524631524 , 0.03063667125695561 , 0.009691675534828584
not deconvolved , 0.05381449661096959 , 0.002138939413112296 , 0.04358097641419696 , 0.0013940217454348884
deconvolved , 0.0656261627616837 , 0.005156712484919168 , 0.02610201044475522 , 0.004823157313799113
deconvolved , 1e-60 , 0.04747689070344153 , 1e-60 , 0.010912019951460433
deconvolved , 0.06548375196564939 , 0.008429832340597958 , 0.05328252389366272 , 0.008181026022055261
deconvolved , 0.04930397212710654 , 0.011572094243957914 , 0.02686539862624567 , 0.017274839745137285
deconvolved , 0.05900588412412322 , 0.012306959962672608 , 0.00567975629400445 , 0.01845851586265999
deconvolved , 0.12762342764324078 , 0.013781147732659607 , 0.0511174819465456 , 0.006809250586108699
deconvolved , 0.10278163807927414 , 0.011137175965924923 , 0.061081264610146 , 0.007418681681589719
deconvolved , 0.023434807322607124 , 0.007098152263968822 , 0.008096045456342823 , 0.01334538674494565
deconvolved , 0.06376308783672405 , 0.0033818124963954713 , 0.04092974636505704 , 0.003287965752933511
deconvolved , 0.05460903812171285 , 0.016008686938364013 , 0.021640632744069816 , 0.011026863876586065
deconvolved , 1e-60 , 0.06058678911911611 , 1e-60 , 0.02780599891877639
deconvolved , 0.037973914079917084 , 0.007619659215737519 , 0.01669823337479224 , 0.00777603529703794
deconvolved , 0.02832133684131481 , 0.005837263833698387 , 0.013746921868318105 , 0.00713441203568462
not deconvolved , 0.06680682712463255 , 0.00780911912755626 , 0.042014144630648995 , 0.0031739815543042923
deconvolved , 1e-60 , 0.13398134537801795 , 1e-60 , 0.02750750265068852
not deconvolved , 0.07674259869713908 , 0.0052629014996096336 , 0.04294634277150286 , 0.0017831978652111424
not deconvolved , 0.10286597801305987 , 0.028372526126898313 , 0.03910655833010071 , 0.005070258113444491
not deconvolved , 0.052884284549525616 , 0.00672058984330736 , 0.03823316505533368 , 0.0033974680976015872
deconvolved , 0.03536019941274445 , 0.012577139566776377 , 0.027754067976068903 , 0.020748279916569256
not deconvolved , 0.05266638988447273 , 0.0063694610186351966 , 0.03349015155151093 , 0.002387067428442782
not deconvolved , 0.04852490127298788 , 0.00837305170445597 , 0.04483583922695364 , 0.007110421214632949
not deconvolved , 0.054239956944252245 , 0.0031158525466804185 , 0.04238678228824912 , 0.0018843396187527234
Fit could not converge,0,0,0,0
not deconvolved , 0.05182347024528914 , 0.00351978724337956 , 0.04641576729916764 , 0.0028182025790344403
deconvolved , 0.24262551542757613 , 0.028250953567864445 , 0.05443347006471758 , 0.008054549157633754
