,Region_ID,right_Ascension,Declination,flux_100GHz,flux_100GHz_error,freefree_flux_100GHz,freefree_flux_100GHz_error,flux_345GHz,flux_345GHz_error,dust_flux_345GHz,dust_flux_345GHz_error,gas_Mass,gas_Mass_error,stellar_Mass,stellar_Mass_error,gas_fraction,gas_fraction_error,total_Mass,total_Mass_error,halflight_Radius,halflight_Radius_error
0,1.000,156.966,-43.904,0.139,0.014,0.133,0.014,0.439,0.075,0.316,0.075,6.384,0.104,5.891,0.293,75.663,25.848,6.505,0.106,4.632,1.599
1,2.000,156.966,-43.903,0.115,0.007,0.108,0.007,0.553,0.119,0.451,0.119,6.539,0.114,5.800,0.175,84.565,29.648,6.612,0.100,4.414,0.886
2,3.000,156.963,-43.904,0.283,0.028,0.274,0.028,0.732,0.115,0.482,0.115,6.567,0.104,6.203,0.279,69.811,24.445,6.723,0.111,8.615,1.477
3,4.000,156.963,-43.904,0.170,0.016,0.164,0.017,0.468,0.058,0.317,0.058,6.386,0.080,5.982,0.275,71.724,20.672,6.530,0.097,8.451,1.376
4,5.000,156.966,-43.905,0.153,0.011,0.148,0.011,0.336,0.044,0.201,0.044,6.189,0.095,5.937,0.202,64.078,19.828,6.382,0.095,1.469,2.462
5,6.000,156.963,-43.905,1.897,0.074,1.866,0.074,2.419,0.220,0.743,0.220,6.755,0.129,7.037,0.109,34.323,12.160,7.220,0.084,5.449,0.525
6,7.000,156.963,-43.905,0.110,0.021,0.104,0.021,0.430,0.085,0.333,0.085,6.407,0.110,5.784,0.549,80.773,32.889,6.500,0.138,3.667,2.155
7,8.000,156.966,-43.903,0.073,0.027,0.068,0.027,0.375,0.136,0.310,0.136,6.376,0.190,5.599,1.075,85.691,57.973,6.443,0.224,4.803,3.709
8,9.000,156.964,-43.903,0.084,0.007,0.080,0.007,0.277,0.032,0.203,0.032,6.192,0.068,5.671,0.244,76.842,18.228,6.306,0.077,2.716,1.337
9,10.000,156.964,-43.904,0.058,0.004,0.053,0.004,0.357,0.024,0.306,0.024,6.371,0.034,5.489,0.197,88.390,10.328,6.424,0.038,2.859,0.815
10,11.000,156.964,-43.904,0.045,0.004,0.040,0.004,0.356,0.035,0.316,0.035,6.385,0.049,5.367,0.271,91.249,14.764,6.424,0.050,2.384,2.494
11,12.000,156.964,-43.904,0.042,0.013,0.033,0.013,0.667,0.075,0.630,0.075,6.684,0.052,5.284,1.062,96.166,18.245,6.701,0.064,4.857,1.189
12,13.000,156.964,-43.904,0.108,0.007,0.102,0.007,0.436,0.063,0.341,0.063,6.417,0.081,5.774,0.177,81.483,20.476,6.506,0.073,4.538,1.785
