,Region_ID,right_Ascension,Declination,flux_100GHz,flux_100GHz_error,freefree_flux_100GHz,freefree_flux_100GHz_error,flux_345GHz,flux_345GHz_error,dust_flux_345GHz,dust_flux_345GHz_error,gas_Mass,gas_Mass_error,stellar_Mass,stellar_Mass_error,gas_fraction,gas_fraction_error,total_Mass,total_Mass_error,halflight_Radius,halflight_Radius_error,Gas surface density,Gas_surface_density_error,optical_extinction,optical_extinction_error
0,1.000,156.966,-43.904,0.290,0.032,0.000,0.000,1.169,0.280,0.913,0.281,6.845,0.134,6.205,0.317,81.343,34.143,6.935,0.124,4.968,1.723,130171.310,98785.215,6391.411,4850.354
1,2.000,156.966,-43.903,0.231,0.013,0.000,0.000,1.106,0.238,0.902,0.238,6.840,0.115,6.101,0.175,84.565,29.684,6.913,0.101,4.414,0.886,162931.495,78284.832,7999.936,3843.785
2,3.000,156.963,-43.904,0.552,0.058,0.001,0.000,1.157,0.327,0.669,0.331,6.710,0.215,6.496,0.297,62.060,39.613,6.917,0.175,8.399,1.581,33365.685,20763.030,1638.255,1019.465
3,4.000,156.963,-43.904,0.298,0.052,0.000,0.000,3.489,0.594,3.225,0.596,7.393,0.080,6.167,0.571,94.384,25.001,7.418,0.082,7.371,2.485,208913.071,146081.940,10257.632,7172.623
4,5.000,156.966,-43.905,0.304,0.027,0.000,0.000,0.667,0.143,0.398,0.145,6.484,0.158,6.237,0.248,63.858,30.541,6.679,0.135,1.434,2.494,681163.938,2382770.798,33445.149,116994.046
5,6.000,156.963,-43.905,3.795,0.148,0.004,0.000,4.838,0.440,1.485,0.459,7.056,0.134,7.338,0.109,34.323,12.575,7.521,0.085,5.449,0.525,176014.110,64149.322,8642.293,3149.732
6,7.000,156.963,-43.905,0.235,0.046,0.000,0.000,1.759,0.408,1.551,0.410,7.075,0.115,6.092,0.605,90.589,34.424,7.118,0.119,4.136,2.395,319204.922,379188.899,15672.962,18618.175
7,8.000,156.966,-43.903,0.100,0.015,0.000,0.000,0.332,0.117,0.243,0.118,6.271,0.210,5.748,0.437,76.909,50.267,6.385,0.191,4.917,0.577,35446.926,19078.933,1740.444,936.776
8,9.000,156.964,-43.903,0.168,0.014,0.000,0.000,0.554,0.064,0.406,0.065,6.493,0.070,5.972,0.244,76.842,18.475,6.607,0.078,2.686,1.362,198037.557,203331.901,9723.644,9983.596
9,10.000,156.964,-43.904,0.215,0.013,0.000,0.000,0.872,0.127,0.682,0.127,6.718,0.081,6.075,0.177,81.483,20.553,6.807,0.074,2.105,1.175,542202.124,613933.870,26622.124,30144.153
10,11.000,156.963,-43.904,0.181,0.026,0.000,0.000,1.874,0.276,1.714,0.277,7.118,0.070,5.961,0.466,93.487,21.748,7.148,0.072,6.755,1.927,132170.171,78375.141,6489.555,3848.219
11,12.000,156.964,-43.904,0.115,0.008,0.000,0.000,0.714,0.047,0.613,0.048,6.672,0.034,5.790,0.197,88.390,10.409,6.725,0.038,2.859,0.815,263830.422,151839.202,12954.074,7455.305
12,13.000,156.964,-43.904,0.083,0.025,0.000,0.000,1.334,0.149,1.260,0.151,6.985,0.052,5.585,1.062,96.166,18.401,7.002,0.065,4.857,1.189,188012.085,94796.538,9231.393,4654.510
