deconvolved_not deconvolved, bmaj, bmaj_error,bmin,bmin_error
deconvolved , 0.06910313574859067 , 0.009437428806844027 , 0.03139337954601136 , 0.01000674889386521
deconvolved , 0.0656261627616837 , 0.005156712484919168 , 0.02610201044475522 , 0.004823157313799113
deconvolved , 0.1272443975090992 , 0.01477079936048134 , 0.04873749759910804 , 0.007223271202032894
deconvolved , 0.1017810624217225 , 0.020430621833272655 , 0.04692235278040958 , 0.012711391353038927
deconvolved , 0.02278287161802031 , 0.008474996762038098 , 0.00792976620321033 , 0.0134752841106338
deconvolved , 0.06376308783672405 , 0.0033818124963954713 , 0.04092974636505704 , 0.003287965752933511
deconvolved , 0.06612396937280032 , 0.0181937808702628 , 0.022736217075821616 , 0.011584525062073109
not deconvolved , 0.04879018081235995 , 0.004291075325084788 , 0.0435512171208829 , 0.0033884938632944574
deconvolved , 0.037973914079917084 , 0.007619659215737519 , 0.01669823337479224 , 0.00777603529703794
deconvolved , 0.02832133684131481 , 0.005837263833698387 , 0.013746921868318105 , 0.00713441203568462
deconvolved , 0.07200143725733625 , 0.01317292226228832 , 0.05570954807137937 , 0.012188572615754137
not deconvolved , 0.06004014421254931 , 0.00540244657081076 , 0.04768869572508278 , 0.003463292017933272
not deconvolved , 0.10286597801305987 , 0.028372526126898313 , 0.03910655833010071 , 0.005070258113444491
