deconvolved_not deconvolved, m0_value,m1_value,posangle_value,longitude_error,latidude_error,flux_value,flux_error,peak_value,peak_error
deconvolved , 2.739575233166458 , -0.7662605827725211 , 153.6789481611258 , 0.008345890931931424 , 0.014287651130202512 , 0.0005846934290571809 , 0.0001398321521136358 , 0.0001500256605663295 , 3.0469960054363576e-05
deconvolved , 2.739567761121054 , -0.76625457179843 , 139.03656989172097 , 0.014047537044972983 , 0.016088764493365753 , 0.0005530700900694208 , 0.00011876182722354086 , 0.0006645492852341289 , 0.0001157738746549347
deconvolved , 2.7395293723031697 , -0.7662671391159301 , 160.33996380664126 , 0.009258564327185899 , 0.01847975497715224 , 0.000578378856183589 , 0.00016367901808747205 , 0.00011939597125404005 , 2.9315763896704484e-05
deconvolved , 2.739527870191761 , -0.7662669132212031 , 137.090985640245 , 0.024904652466876807 , 0.026699463841966715 , 0.001744270759492398 , 0.0002969771898598507 , 9.931315228644764e-05 , 1.6120460972162217e-05
deconvolved , 2.7395657098541157 , -0.7662931972330104 , 170.62775616024683 , 0.002539671023174038 , 0.0035481698228519557 , 0.0003333813342550625 , 7.13346446583627e-05 , 0.0012594487000375607 , 0.00017069615552946314
deconvolved , 2.739528424117567 , -0.766292557068626 , 65.12646431753176 , 0.0031200241121654487 , 0.002212207846379154 , 0.0024188277726501016 , 0.00022009554815118678 , 0.001041706878755665 , 7.514345623760485e-05
deconvolved , 2.7395205621130496 , -0.7662930822191555 , 137.91219947592975 , 0.01255457779685955 , 0.013384347927474142 , 0.0008793834740537951 , 0.00020387915079622524 , 0.00012437623820990486 , 2.5856210388187972e-05
not deconvolved , 2.7395749454241356 , -0.7662603573761481 , 40.839312239281846 , 0.007541582044461884 , 0.00862574709699445 , 0.00016607769855194585 , 5.8564573431267216e-05 , 0.00010888976080582887 , 2.353505380905975e-05
deconvolved , 2.7395312989045615 , -0.7662588818698168 , 123.95032320755578 , 0.0018873446461685232 , 0.0015897132810737955 , 0.0002771586268850582 , 3.185213487380053e-05 , 0.0008423378279567971 , 6.198217847561955e-05
deconvolved , 2.739537459196923 , -0.7662701131888697 , 11.863732620160896 , 0.002215011150826514 , 0.0034828393895114896 , 0.0004362250511917614 , 6.329209372595323e-05 , 0.00047490863684693675 , 4.8673590991217044e-05
deconvolved , 2.739525670822755 , -0.7662704459401668 , 110.65609524472872 , 0.009852656202140523 , 0.006097124018598784 , 0.0009370734459948659 , 0.00013811676191964324 , 0.00012572605931232336 , 1.66829022807384e-05
deconvolved , 2.7395330029436735 , -0.7662689081406951 , 27.565739645744024 , 0.0009167222730070519 , 0.0009593989891638411 , 0.0003571606863435373 , 2.371665337271887e-05 , 0.0009800789465695776 , 4.1536288659966444e-05
deconvolved , 2.7395326414631938 , -0.7662665385539119 , 28.762956823345725 , 0.002044918688022487 , 0.0024397314772980788 , 0.0006669562412026065 , 7.4621846207964e-05 , 0.0006341103540646216 , 5.072091573204941e-05
