Region ID	$R_{{hl,100GHz}}$ 	$\Delta R_{{hl,100GHz}}$ 	Region deconvolved at 100GHz	$R_{{hl,345GHz}}$ 	$\Delta R_{hl,345GHz}$	Region deconvolved at 345GHz
0	9.264462935596713	3.198324955416563	deconvolved 	14.234483147229902	4.781696166435659	deconvolved 
1	10.330602770703774	0.5270582371256275	not deconvolved 	0.0		Fit could not converge
2	8.828827438513919	1.7727793138226489	deconvolved 	8.640073983397018	17.630330822522232	deconvolved 
3	11.059538141312354	0.5881774307690104	not deconvolved 	4.355159031013101	1.2135437474762252	deconvolved 
4	10.757169257526243	1.0161812626379294	deconvolved 	0.0		Fit could not converge
5	7.763635592580664	5.3142978063753175	deconvolved 	0.0		Fit could not converge
6	3.905170995737645	12.71743991299274	deconvolved 	2.1331801968819585e-58	15.301635006627802	deconvolved 
7	17.229690320998596	2.9545096768038417	deconvolved 	25.175464162191204	5.921793431954222	deconvolved 
8	16.9020476133751	2.751086487563665	deconvolved 	18.7383905734388	3.763218557948134	deconvolved 
9	3.2708804035275194	1.6886538609440618	deconvolved 	6.0029246982662015	4.201604934807125	deconvolved 
10	10.731107717767133	1.291967849410067	deconvolved 	13.763894300033321	2.1906713072496107	deconvolved 
11	4.705540960602996	5.14593532823128	deconvolved 	9.349522380918993	0.6570907546689209	deconvolved 
12	4.739113355496393	6.18478483571431	deconvolved 	8.62170415642472	6.733932671301332	deconvolved 
13	2.1331801968819585e-58	11.277699103871594	deconvolved 	8.863442200167365	4.840207771378643	deconvolved 
14	5.371622549173143	2.723791049396864	deconvolved 	5.4326536524997735	2.6734376627231353	deconvolved 
15	12.246412590546523	0.9817823453555292	not deconvolved 	4.767880645583271	4.98831289043974	deconvolved 
16	13.529701695430678	4.1234877938600025	not deconvolved 	9.713085610721079	2.3780501957139735	deconvolved 
17	9.59204010310438	1.4874162014483447	not deconvolved 	5.029017760751354	2.8568762162589705	deconvolved 
18	4.209079708151257	2.350398864964031	deconvolved 	9.076977116524452	3.569332385997746	deconvolved 
19	4.429691996916788	3.277269467659632	deconvolved 	9.101937021428796	1.6796086070202267	deconvolved 
20	8.958862572947051	1.2576531375418185	not deconvolved 	11.669264298632017	1.9780009874748805	deconvolved 
21	9.949987270638896	2.331870125641558	not deconvolved 	6.104140344986081	1.50385824236818	deconvolved 
22	10.228275939598952	0.7429650860398433	not deconvolved 	5.780227931782674	3.922806981925801	deconvolved 
