converged_deconvolved, bmaj, bmaj_error, bmin, bmin_error
converged, 0.06156641043797958 , 0.008510405524631524 , 0.03063667125695561 , 0.009691675534828584
not deconvolved, 0.05381449661096959 , 0.002138939413112296 , 0.04358097641419696 , 0.0013940217454348884
converged, 0.0656261627616837 , 0.005156712484919168 , 0.02610201044475522 , 0.004823157313799113
not deconvolved ,0.05897096069307466 , 0.002472268204118393 , 0.04558066866119353 , 0.0014915634083979487
converged, 0.06559911790846572 , 0.003394430452007824 , 0.03876527934503951 , 0.0030637270484618617
converged, 0.04930397212710654 , 0.011572094243957914 , 0.02686539862624567 , 0.017274839745137285
converged, 0.05900588412412322 , 0.012306959962672608 , 0.00567975629400445 , 0.01845851586265999
converged, 0.12762342764324078 , 0.013781147732659607 , 0.0511174819465456 , 0.006809250586108699
converged, 0.10278163807927414 , 0.011137175965924923 , 0.061081264610146 , 0.007418681681589719
converged, 0.02321356390152589 , 0.0027344190855433242 , 0.010128203569352486 , 0.005090952939984649
converged, 0.06243629877031964 , 0.004132042055428463 , 0.0405318915389632 , 0.0040764405356354255
converged, 0.048579706940951116 , 0.009447832322338777 , 0.010016341871828174 , 0.010779173256068081
converged, 0.050630402242841044 , 0.0034106842490944575 , 0.023106803377610854 , 0.003300225972147887
converged, 1e-60 , 0.051133174837950005 , 1e-60 , 0.013432232341170521
converged, 0.037973914079917084 , 0.007619659215737519 , 0.01669823337479224 , 0.00777603529703794
not deconvolved, 0.07674259869713908 , 0.0052629014996096336 , 0.04294634277150286 , 0.0017831978652111424
not deconvolved, 0.10286597801305987 , 0.028372526126898313 , 0.03910655833010071 , 0.005070258113444491
not deconvolved, 0.052884284549525616 , 0.00672058984330736 , 0.03823316505533368 , 0.0033974680976015872
converged, 0.02832133684131481 , 0.005837263833698387 , 0.013746921868318105 , 0.00713441203568462
converged, 0.024365049760882437 , 0.009028811504054848 , 0.017698019568511084 , 0.011332919086174606
not deconvolved, 0.05266638988447273 , 0.0063694610186351966 , 0.03349015155151093 , 0.002387067428442782
not deconvolved, 0.04852490127298788 , 0.00837305170445597 , 0.04483583922695364 , 0.007110421214632949
not deconvolved, 0.054239956944252245 , 0.0031158525466804185 , 0.04238678228824912 , 0.0018843396187527234
