deconvolved_not deconvolved, bmaj, bmaj_error,bmin,bmin_error
deconvolved , 0.10639159466035522 , 0.020173815862357253 , 0.04185246097633967 , 0.011605239885759528
Fit could not converge,0,0,0,0
deconvolved , 0.20269016410986163 , 0.051622338468089474 , 0.008093701095326146 , 0.0163862931494929
deconvolved , 0.026772037702874407 , 0.002693959549586754 , 0.015569387283147966 , 0.00404557067569461
Fit could not converge,0,0,0,0
Fit could not converge,0,0,0,0
deconvolved , 1e-60 , 0.06989708101723434 , 1e-60 , 0.01611878473925527
deconvolved , 0.14805756277455176 , 0.024059489073710597 , 0.09407393061764306 , 0.015998734273202836
deconvolved , 0.1268727739449019 , 0.016733017313708742 , 0.060819248817444826 , 0.009211242319653527
deconvolved , 0.04228732495249554 , 0.007791609320880494 , 0.018726667151186316 , 0.01264497033412083
deconvolved , 0.08409917102438239 , 0.008380212063929193 , 0.049503494357840176 , 0.006143751117312905
deconvolved , 0.05436096038442739 , 0.002191963646788621 , 0.03533756690769748 , 0.0020341301117895033
deconvolved , 0.051183633309432174 , 0.018772133761977478 , 0.0319153811196441 , 0.022008123712579784
deconvolved , 0.05176990139962469 , 0.015445913481776347 , 0.033348200921663934 , 0.015252701428562897
deconvolved , 0.03973432427752486 , 0.00791803148283829 , 0.016323117931651733 , 0.0073446297234238365
deconvolved , 0.055851313383114866 , 0.007325791756837743 , 0.008944627795893615 , 0.009284327436986936
deconvolved , 0.056535752386708375 , 0.008037602604004615 , 0.03667213294636299 , 0.007309595980804308
deconvolved , 0.02521971598874268 , 0.007289767632306987 , 0.0220379432672327 , 0.010777499117987107
deconvolved , 0.05888097912717616 , 0.010974069137014736 , 0.030750513419816206 , 0.01064752927080096
deconvolved , 0.05248260724589363 , 0.005526071805209851 , 0.034689430005364494 , 0.005256995635254169
deconvolved , 0.070945387136852 , 0.007150152064569162 , 0.04218010953010191 , 0.005748673984993395
deconvolved , 0.03778166947523148 , 0.003953283219609562 , 0.021672688528832588 , 0.0048339417043299394
deconvolved , 0.04562830827170064 , 0.0063191985632168254 , 0.016091646184025945 , 0.010690940379916879
