deconvolved_not deconvolved, m0_value,m1_value,posangle_value,longitude_error,latidude_error,flux_value,flux_error,peak_value,peak_error
deconvolved , 2.739575219602893 , -0.766260559298339 , 152.39764087943604 , 0.004515336336706376 , 0.006972471464115019 , 0.0004388802640490418 , 7.538284679325786e-05 , 0.0001942873751782167 , 2.649859129220069e-05
Fit could not converge,0,0,0,0,0,0,0,0,0
deconvolved , 2.739567761121054 , -0.76625457179843 , 139.03656989172097 , 0.014047537044972983 , 0.016088764493365753 , 0.0005530700900694208 , 0.00011876182722354086 , 0.0006645492852341289 , 0.0001157738746549347
deconvolved , 2.7395330035341825 , -0.766268915250053 , 63.247202694333296 , 0.0004715256709162713 , 0.0004113561133928352 , 0.0003277892551652598 , 1.1105544274724712e-05 , 0.0015501317488250787 , 3.245175367013347e-05
Fit could not converge,0,0,0,0,0,0,0,0,0
Fit could not converge,0,0,0,0,0,0,0,0,0
not deconvolved , 2.7395626539850078 , -0.7662817339934551 , 20.915167504956006 , 0.0033845424899727446 , 0.0060790688975391445 , 9.299882746888587e-05 , 2.7247607220366333e-05 , 6.563040913846073e-05 , 1.2099417088262322e-05
deconvolved , 2.7395294495763878 , -0.7662671847827942 , 167.94943143080624 , 0.006172379811831339 , 0.009517163975107532 , 0.0007322659974468711 , 0.00011507741940731488 , 0.00010363246535221557 , 1.4589652452624372e-05
deconvolved , 2.739528361172263 , -0.7662673203936068 , 149.57751230632618 , 0.00427017462523547 , 0.005899552796495233 , 0.0004678475575491404 , 5.808565776106816e-05 , 0.00011951481332895226 , 1.2549841960083272e-05
deconvolved , 2.7395657087800696 , -0.7662931955562389 , 154.4131836279748 , 0.0015162545508201515 , 0.0019265507241969073 , 0.0003542972496811468 , 3.8971307903321285e-05 , 0.0008819093214591299 , 6.308344310169731e-05
deconvolved , 2.739528424500372 , -0.7662925571348805 , 64.7612954562497 , 0.002896977868842821 , 0.0020881257760421786 , 0.0023340480567168613 , 0.00020863335513627882 , 0.0011051190593260153 , 7.734354375835602e-05
deconvolved , 2.7395271779152033 , -0.7662925799545338 , 21.33956727241924 , 0.000539259655336301 , 0.0006858983653968973 , 0.0003028971078490766 , 9.577950244257988e-06 , 0.0003108122989455031 , 6.959866215728297e-06
deconvolved , 2.7395207930919767 , -0.7662932153195835 , 83.49862460379497 , 0.005217647744588501 , 0.003602060036289274 , 0.0002905428097475986 , 7.022663350670718e-05 , 0.0003505950970266666 , 5.878924016864863e-05
deconvolved , 2.7395750364487994 , -0.7662603322829273 , 28.0101528660219 , 0.003589276349985521 , 0.004268266481987596 , 0.0003329531260286891 , 6.999438062172334e-05 , 0.0003801545452992375 , 5.588487275043466e-05
deconvolved , 2.7395312989045615 , -0.7662588818698168 , 123.95032320755578 , 0.0018873446461685232 , 0.0015897132810737955 , 0.0002771586268850582 , 3.185213487380053e-05 , 0.0008423378279567971 , 6.198217847561955e-05
deconvolved , 2.739530379714888 , -0.766264619196914 , 7.380621735921283 , 0.00111341468292222 , 0.0023384069711728955 , 0.00035579969018425595 , 3.5456313305138974e-05 , 0.0014039018352282736 , 9.269665709995149e-05
deconvolved , 2.7395326414631938 , -0.7662665385539119 , 28.762956823345725 , 0.002044918688022487 , 0.0024397314772980788 , 0.0006669562412026065 , 7.4621846207964e-05 , 0.0006341103540646216 , 5.072091573204941e-05
deconvolved , 2.7395374556857086 , -0.7662689460510957 , 131.27356554196908 , 0.0012798462402013376 , 0.001237449075630759 , 0.00022730880496495866 , 2.137708826665207e-05 , 0.0008061796888027468 , 4.737813397511685e-05
deconvolved , 2.739537459196923 , -0.7662701131888697 , 11.863732620160896 , 0.002215011150826514 , 0.0034828393895114896 , 0.0004362250511917614 , 6.329209372595323e-05 , 0.00047490863684693675 , 4.8673590991217044e-05
deconvolved , 2.7395312546127077 , -0.7662701353816467 , 15.59456140731722 , 0.001283711013927817 , 0.001676415737179681 , 0.0003156302425970097 , 2.4737227018581255e-05 , 0.0003417377144021955 , 1.883563991132628e-05
deconvolved , 2.7395259074388836 , -0.7662682748734346 , 60.680166737861065 , 0.002314913296701704 , 0.0018022390186303537 , 0.0004136477533405198 , 3.56036664621852e-05 , 0.0002724743755495555 , 1.7586327094122615e-05
deconvolved , 2.7395314158286594 , -0.7662672669253731 , 36.64240464890161 , 0.0008902199423184931 , 0.0009474630020183098 , 0.00022784077084370445 , 1.3899563489765033e-05 , 0.0005484845127841233 , 2.1727574316667442e-05
deconvolved , 2.739520986671999 , -0.7662690738611145 , 101.87951610486459 , 0.001776384717179507 , 0.0010745571704747123 , 0.0002741055605134542 , 2.4631426404499947e-05 , 0.0007358848080404612 , 4.302802289289558e-05
