deconvolved_not deconvolved, bmaj, bmaj_error,bmin,bmin_error
deconvolved , 0.06156641043797958 , 0.008510405524631524 , 0.03063667125695561 , 0.009691675534828584
not deconvolved , 0.05381449661096959 , 0.002138939413112296 , 0.04358097641419696 , 0.0013940217454348884
deconvolved , 0.0656261627616837 , 0.005156712484919168 , 0.02610201044475522 , 0.004823157313799113
not deconvolved , 0.05897096069307466 , 0.002472268204118393 , 0.04558066866119353 , 0.0014915634083979487
deconvolved , 0.06559911790846572 , 0.003394430452007824 , 0.03876527934503951 , 0.0030637270484618617
deconvolved , 0.04930397212710654 , 0.011572094243957914 , 0.02686539862624567 , 0.017274839745137285
deconvolved , 0.05900588412412322 , 0.012306959962672608 , 0.00567975629400445 , 0.01845851586265999
deconvolved , 0.12762342764324078 , 0.013781147732659607 , 0.0511174819465456 , 0.006809250586108699
deconvolved , 0.10278163807927414 , 0.011137175965924923 , 0.061081264610146 , 0.007418681681589719
deconvolved , 0.02321356390152589 , 0.0027344190855433242 , 0.010128203569352486 , 0.005090952939984649
deconvolved , 0.06243629877031964 , 0.004132042055428463 , 0.0405318915389632 , 0.0040764405356354255
deconvolved , 0.048579706940951116 , 0.009447832322338777 , 0.010016341871828174 , 0.010779173256068081
deconvolved , 0.056933641971695835 , 0.010776808039495697 , 0.00866902271608127 , 0.011193882408782873
deconvolved , 1e-60 , 0.051133174837950005 , 1e-60 , 0.013432232341170521
deconvolved , 0.037973914079917084 , 0.007619659215737519 , 0.01669823337479224 , 0.00777603529703794
not deconvolved , 0.07674259869713908 , 0.0052629014996096336 , 0.04294634277150286 , 0.0017831978652111424
not deconvolved , 0.10286597801305987 , 0.028372526126898313 , 0.03910655833010071 , 0.005070258113444491
not deconvolved , 0.052884284549525616 , 0.00672058984330736 , 0.03823316505533368 , 0.0033974680976015872
deconvolved , 0.02832133684131481 , 0.005837263833698387 , 0.013746921868318105 , 0.00713441203568462
deconvolved , 0.024365049760882437 , 0.009028811504054848 , 0.017698019568511084 , 0.011332919086174606
not deconvolved , 0.05266638988447273 , 0.0063694610186351966 , 0.03349015155151093 , 0.002387067428442782
not deconvolved , 0.04852490127298788 , 0.00837305170445597 , 0.04483583922695364 , 0.007110421214632949
not deconvolved , 0.054239956944252245 , 0.0031158525466804185 , 0.04238678228824912 , 0.0018843396187527234
deconvolved , 0.10639159466035522 , 0.020173815862357253 , 0.04185246097633967 , 0.011605239885759528
Fit could not converge,0,0,0,0
deconvolved , 0.20269016410986163 , 0.051622338468089474 , 0.008093701095326146 , 0.0163862931494929
deconvolved , 0.026772037702874407 , 0.002693959549586754 , 0.015569387283147966 , 0.00404557067569461
Fit could not converge,0,0,0,0
Fit could not converge,0,0,0,0
deconvolved , 1e-60 , 0.06989708101723434 , 1e-60 , 0.01611878473925527
deconvolved , 0.14805756277455176 , 0.024059489073710597 , 0.09407393061764306 , 0.015998734273202836
deconvolved , 0.1268727739449019 , 0.016733017313708742 , 0.060819248817444826 , 0.009211242319653527
deconvolved , 0.04228732495249554 , 0.007791609320880494 , 0.018726667151186316 , 0.01264497033412083
deconvolved , 0.08409917102438239 , 0.008380212063929193 , 0.049503494357840176 , 0.006143751117312905
deconvolved , 0.05436096038442739 , 0.002191963646788621 , 0.03533756690769748 , 0.0020341301117895033
deconvolved , 0.051183633309432174 , 0.018772133761977478 , 0.0319153811196441 , 0.022008123712579784
deconvolved , 0.05176990139962469 , 0.015445913481776347 , 0.033348200921663934 , 0.015252701428562897
deconvolved , 0.03973432427752486 , 0.00791803148283829 , 0.016323117931651733 , 0.0073446297234238365
deconvolved , 0.055851313383114866 , 0.007325791756837743 , 0.008944627795893615 , 0.009284327436986936
deconvolved , 0.056535752386708375 , 0.008037602604004615 , 0.03667213294636299 , 0.007309595980804308
deconvolved , 0.02521971598874268 , 0.007289767632306987 , 0.0220379432672327 , 0.010777499117987107
deconvolved , 0.05888097912717616 , 0.010974069137014736 , 0.030750513419816206 , 0.01064752927080096
deconvolved , 0.05248260724589363 , 0.005526071805209851 , 0.034689430005364494 , 0.005256995635254169
deconvolved , 0.070945387136852 , 0.007150152064569162 , 0.04218010953010191 , 0.005748673984993395
deconvolved , 0.03778166947523148 , 0.003953283219609562 , 0.021672688528832588 , 0.0048339417043299394
deconvolved , 0.04562830827170064 , 0.0063191985632168254 , 0.016091646184025945 , 0.010690940379916879
